date,direction,breakout_time,or_high,or_low,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,shares,pnl,r_multiple
2026-03-06,short,2026-03-06 09:45:00-05:00,479.3000093378765,478.15990732497534,2026-03-06 11:05:00-05:00,477.45452812322185,477.69315626770793,476.52337854648084,2026-03-06 11:15:00-05:00,477.7409255833347,SL,419.0620524471748,-120.01830745053765,-1.2001830745053765
2026-03-09,long,2026-03-09 09:45:00-04:00,479.1554415921788,477.8629077756406,2026-03-09 10:35:00-04:00,479.1249622227154,477.9249147008719,479.3000093378765,2026-03-09 10:35:00-04:00,479.2520793369427,TP,82.32992037992,10.465541893259077,0.10592673366137095
2026-03-12,long,2026-03-12 09:45:00-04:00,489.6495296495755,488.15743031546475,2026-03-12 11:05:00-04:00,494.5236581939235,488.28655690378963,495.5407253970411,2026-03-12 11:25:00-04:00,492.5995637692465,EOD (cierre de sesión),15.857442062209072,-30.51121586153471,-0.30849177128493993
2026-03-30,short,2026-03-30 09:45:00-04:00,534.5396805473868,530.1683357993217,2026-03-30 10:40:00-04:00,525.0681489950026,537.4097048269455,516.3440925359242,2026-03-30 11:25:00-04:00,526.0433749608293,EOD (cierre de sesión),7.9892163944689605,-7.791291274494231,-0.07901969404072637
2026-03-31,long,2026-03-31 09:45:00-04:00,535.17911042779,532.510492491432,2026-03-31 11:15:00-04:00,538.8980283183695,535.8264332644844,540.0105514954167,2026-03-31 11:25:00-04:00,538.4782142275827,EOD (cierre de sesión),32.075011694153346,-13.465541871355626,-0.1366762491220197
2026-04-16,short,2026-04-16 09:50:00-04:00,524.8903699089125,523.3353593263905,2026-04-16 11:25:00-04:00,522.0231270643569,523.3936122131175,520.9494041897132,2026-04-16 11:25:00-04:00,523.4459515743389,SL,71.78975411979329,-102.14422172722162,-1.03819038919808
2026-04-17,short,2026-04-17 09:50:00-04:00,528.0916787996051,527.0144789877037,2026-04-17 10:45:00-04:00,527.0065086643137,527.9002282683208,526.2343886318649,2026-04-17 11:10:00-04:00,527.9530182911476,SL,108.9439564719585,-103.11650358607756,-1.0590677686716392
2026-04-20,long,2026-04-20 09:55:00-04:00,541.7180386100498,537.7752071162611,2026-04-20 10:50:00-04:00,543.436926688253,539.6299777313056,546.7190392444754,2026-04-20 11:25:00-04:00,546.6643673405509,TP,25.304826960029967,81.66982723016461,0.8477761821334812
2026-04-22,long,2026-04-22 09:45:00-04:00,576.5019836572548,557.5666782572295,2026-04-22 11:15:00-04:00,564.2915190635275,558.2664308583703,585.6187249736055,2026-04-22 11:25:00-04:00,565.2323940983692,EOD (cierre de sesión),16.124391803984754,15.171037700375768,0.1561595453551
2026-05-06,short,2026-05-06 09:45:00-04:00,572.9569680834067,565.1938016281431,2026-05-06 10:35:00-04:00,562.4378352654929,564.0627546548036,554.5072154369958,2026-05-06 10:35:00-04:00,564.1191609302691,SL,59.88148943918034,-100.6802850391178,-1.03471327613947
2026-06-04,short,2026-06-04 09:45:00-04:00,576.913943691468,573.1131309603669,2026-06-04 10:45:00-04:00,570.3039554111741,574.4437076458289,568.3101201200055,2026-06-04 11:25:00-04:00,571.9201894315369,EOD (cierre de sesión),23.261244862439103,-37.5956153026624,-0.39041805614183783
2026-06-10,long,2026-06-10 10:00:00-04:00,555.7465278712792,546.9883437610356,2026-06-10 11:10:00-04:00,555.9179432008038,551.415279899539,563.9646527199935,2026-06-10 11:25:00-04:00,552.8337136267899,EOD (cierre de sesión),21.302910706239683,-65.70306721276366,-0.6849789486030582
2026-06-24,long,2026-06-24 09:55:00-04:00,566.1733007254026,564.5973721417499,2026-06-24 11:10:00-04:00,567.1883818070116,556.5898529010351,567.7763479697633,2026-06-24 11:10:00-04:00,567.7195703349663,TP,8.98830435998164,4.774484161787178,0.050119080927838025
2026-06-26,long,2026-06-26 09:45:00-04:00,557.8785819482414,552.1853732464297,2026-06-26 10:35:00-04:00,557.6755490358926,556.5927067508665,562.2740947680213,2026-06-26 10:45:00-04:00,556.5370474801914,SL,88.01886455172868,-100.20961422319353,-1.051401087161745
2026-07-01,long,2026-07-01 09:50:00-04:00,553.9292059477904,549.4105258384358,2026-07-01 10:40:00-04:00,554.0631595370179,552.8603140087328,555.4847069858625,2026-07-01 10:40:00-04:00,552.8050279773319,SL,78.40445847507877,-98.64312362758982,-1.0459627026919378
2026-07-20,short,2026-07-20 09:50:00-04:00,534.4955180857119,530.4313014934282,2026-07-20 10:30:00-04:00,526.1801250280463,556.3591098576759,465.8221553687871,2026-07-20 11:25:00-04:00,528.0388834298595,EOD (cierre de sesión),3.0922849646840094,-5.747810658907183,-0.06159115067344235
2026-07-27,long,2026-07-27 09:50:00-04:00,511.2176738584024,509.5269588723866,2026-07-27 10:45:00-04:00,511.996656683689,510.2150925347269,521.5176609018508,2026-07-27 11:10:00-04:00,510.16407102547345,SL,52.34980900678483,-95.93550919615858,-1.0286386034896344
2026-07-28,short,2026-07-28 09:45:00-04:00,506.65300761390847,504.4582676657337,2026-07-28 10:45:00-04:00,501.7839468704262,502.96564811541725,500.29737926549666,2026-07-28 11:25:00-04:00,501.7401910575083,EOD (cierre de sesión),78.11211863472049,3.4178592496000517,0.03702781316627126
2026-07-29,long,2026-07-29 09:45:00-04:00,500.5929913099284,499.6827400238293,2026-07-29 10:20:00-04:00,500.4894802028153,500.14723242143583,501.9190707792245,2026-07-29 10:20:00-04:00,500.0972176981937,SL,269.8026735479625,-105.83347247953108,-1.1461360042731867
2026-08-03,short,2026-08-03 09:50:00-04:00,525.5628156362055,523.9670384180869,2026-08-03 10:30:00-04:00,524.2330799676367,524.84705542269,523.2851102897968,2026-08-03 11:00:00-04:00,523.3374388008257,TP,148.67211865875245,133.15686982779746,1.4587572832750466
2026-08-07,long,2026-08-07 09:50:00-04:00,585.7956759085104,581.6564671525954,2026-08-07 11:00:00-04:00,588.984587572148,583.8290068062778,592.7369951125409,2026-08-07 11:00:00-04:00,592.6777214130296,TP,17.963563100128408,66.34184278789647,0.7163371128486684
2026-08-19,long,2026-08-19 09:45:00-04:00,588.5459845979716,583.4328115565258,2026-08-19 11:15:00-04:00,592.0473421884255,587.7516606083373,593.0960419711015,2026-08-19 11:15:00-04:00,593.0367323669044,TP,21.713904323299577,21.483523673902187,0.2303220478596374
2026-08-26,short,2026-08-26 09:45:00-04:00,622.5477971446659,621.2811231036517,2026-08-26 10:25:00-04:00,618.6797743655302,622.5520872733125,617.4835951625067,2026-08-26 10:45:00-04:00,617.545343522023,TP,24.1434141032985,27.38903362634795,0.29295949746914096
